,Headline,Date,Sentiment
52,"Stock Market is Thriving Worldwide with Johnson & Johnson, Apple Inc, Wells Fargo & Co, Bank of America,Alphabet Inc, Microsoft Corporation, Amazon, Berkshire Hathaway, Alibaba Group, JPMorgan Chase & Co, Wal-Mart Stores Inc, - openPR",2019-01-09,21.076505540151274
53,"Online to Offline Commerce Market 2019 Global Key Players â Amazon, Wal-Mart Stores, Flipkart, IKEA - Analysis and Forecast to 2025 - openPR",2019-01-09,-16.930156466949786
54,"As Western Alliance Bancorp (WAL) Share Value Declined, Inverness Counsel LLC Has Lifted Its Stake",2019-01-10,10.60517544171
55,Inverness Counsel LLC Continues to Hold Stake in Western Alliance Bancorp (WAL),2019-01-10,12.144380498888566
56,Analysts See $1.06 EPS for Western Alliance Bancorporation (WAL),2019-01-10,17.21896269185428
57,EPS for Western Alliance Bancorporation (WAL) Expected At $1.06,2019-01-10,15.779627450304199
58,Could WAL-MART DE MEXICO S A B DE C V ORDINARY (OTCMKTS:WMMVF) Go Down After Its Newest Short Interest Report?,2019-01-11,-3.8485561759232914
59,Robbins Geller Rudman & Dowd LLP : Announces Settlement of Wal-Mart Stores Shareholder Litigation,2019-01-11,6.8774750281219825
60,Western Alliance Bancorporation (WAL) EPS Estimated At $1.06,2019-01-11,14.792054918238827
61,Wal Mart Stores Inc Stock as Institutional Investors Exit,2019-01-11,5.816514390270977
62,"Automotive E-Commerce Market Witness Industry Innovative Growth With SWOT Analysis and Forecast 2025; Amazon.Com, Alibaba Group Holding Limited, JD.Com, Inc., Wal-Mart Stores, Inc., Tmall.Com, Denso Corporation, American Tire Distributors Holdings, Inc. - openPR",2019-01-11,16.6936731789316
63,"Complete Study on Global EPharmacies Market by 2026: Key Players- the Kroger Co, Walgreen Co, Wal-Mart Stores, Inc, CVS Health, Rowlands Pharmacy, OptumRx Inc",2019-01-14,11.752149719647363
64,Wal (WMT) Holder Schwab Charles Investment Management INC Cut Its Holding by $13.88 Million,2019-01-14,-5.51802906423555
65,Wal (WMT) Shareholder Schwab Charles Investment Management INC Has Trimmed Holding,2019-01-14,-8.864215263875584
66,District Court Judicial Calendar: Lucas v. Wal-Mart Stores Incorporated et al.,2019-01-14,-2.0
67,Wal (WMT) Shareholder Avalon Advisors LLC Boosted Position by $10.71 Million as Stock Price Declined | Thorold News,2019-01-15,-2.4764218427022033
68,"Latest Study Examines Global EPharmacies Market by 2019-2026: Top Key Players- The Kroger Co, Walgreen Co, Wal-Mart Stores, Inc, CVS Health, Express Scripts Holding Company, Giant Eagle, Inc - openPR",2019-01-15,19.860886412198436
69,$1.06 EPS Expected for Western Alliance Bancorporation (WAL) | Thorold News,2019-01-15,12.957608505721945
70,"ePharmacy Market Global Report 2019 - CVS Health, Wal-Mart Stores, OptumRx, The Kroger Co., Giant Eagle, Inc., DocMorris (Zur Rose Group AG), Rowlands Pharmacy, Express Scripts Holding Company - openPR",2019-01-15,8.951973761668633
71,Wal Mart Stores INC (WMT) Shares Declined While California Public Employees Retirement System Cut Holding | Thorold News,2019-01-16,-9.955685817151558
72,Western Alliance Bancorporation (WAL) Analysts See $1.06 EPS | Thorold News,2019-01-16,18.17010003054607
73,"Global Connectivity Constraint Computing Market Insight Report 2018 - Microsoft, Cognizant, TATA Consultancy Services, Wal-Mart Stores - openPR",2019-01-16,13.166624460096156
74,Wal-mart de Mexico S A B de C V (WMMVY) Upgraded at Zacks Investment Research,2019-01-16,9.65685424949238
75,Western Alliance Bancorp (WAL) Holder Inverness Counsel LLC Increased Its Stake by $5.75 Million as Share Value Declined | Thorold News,2019-01-17,-3.4803992877632757
76,Western Alliance Bancorporation (WAL) Analysts See $1.06 EPS | Thorold News,2019-01-17,22.048898849196163
77,"Automotive E-Commerce Market 2019 will Boom By Key Players EBay Inc., Amazon.Com, Inc., Alibaba Group Holding Limited, JD.Com, Inc., Taobao, Wal-Mart Stores, Inc., Tmall.Com, Denso Corporation, JD.Com, Inc., American Tire Distributors Holdings, Inc - openPR",2019-01-17,13.078954830363305
78,Wal-Mart Stores Inc (WMT) Gets a Hold Rating from Oppenheimer | Analyst Ratings,2019-01-17,6.564403886200103
79,"Online to Offline Commerce Market 2018 Global Outlook and Study: Alibaba Group, Amazon.com, Wal-Mart Stores, Flipkart.com, IKEA - openPR",2019-01-17,11.975139657372438
80,Analysts See $1.06 EPS for Western Alliance Bancorporation (WAL),2019-01-18,14.251337782387727
81,Analysts See $1.06 EPS for Western Alliance Bancorporation (WAL) | Thorold News,2019-01-18,19.980568412674625
82,40-year-old guy indicted for carrying out theft crime in Strathroy Wal-Mart,2019-01-18,-5.2808577638091165
